fold,epoch,train_loss,val_loss,val_pearson,val_r2,val_mae,val_mse
1,1,0.167773,0.053888,0.202352,-1.349259,0.192224,0.053888
1,2,0.058313,0.050463,-0.013672,-1.199929,0.180756,0.050463
1,3,0.048055,0.028605,0.192341,-0.247054,0.134886,0.028605
1,4,0.039766,0.023443,0.189929,-0.021992,0.122988,0.023443
1,5,0.037987,0.022748,0.240873,0.008315,0.119103,0.022748
1,6,0.032068,0.023859,0.172335,-0.040112,0.125491,0.023859
1,7,0.028517,0.020128,0.359742,0.122539,0.113438,0.020128
1,8,0.026975,0.02495,0.348873,-0.087714,0.125276,0.02495
1,9,0.026316,0.025327,0.374115,-0.104113,0.12753,0.025327
1,10,0.024257,0.022062,0.304806,0.038199,0.117932,0.022062
1,11,0.020893,0.021176,0.365443,0.076838,0.114577,0.021176
1,12,0.019913,0.028824,0.359741,-0.256583,0.13668,0.028824
1,13,0.019545,0.025117,0.297529,-0.094966,0.124593,0.025117
1,14,0.016157,0.041678,0.397609,-0.816941,0.167652,0.041678
1,15,0.016131,0.0245,0.438236,-0.068059,0.123197,0.0245
1,16,0.015047,0.02668,0.337926,-0.163112,0.129842,0.02668
1,17,0.012843,0.01912,0.458207,0.166446,0.109749,0.01912
1,18,0.011883,0.027954,0.425738,-0.218656,0.132294,0.027954
1,19,0.011342,0.022997,0.374501,-0.002542,0.119157,0.022997
1,20,0.010631,0.021076,0.446882,0.081186,0.113637,0.021076
1,21,0.010504,0.019871,0.433978,0.133707,0.110501,0.019871
1,22,0.009586,0.02424,0.421735,-0.056758,0.120759,0.02424
1,23,0.008543,0.025854,0.351094,-0.12709,0.124815,0.025854
1,24,0.008321,0.023279,0.486273,-0.014864,0.117974,0.023279
1,25,0.008086,0.021731,0.453609,0.052637,0.114739,0.021731
1,26,0.00701,0.031538,0.394952,-0.37488,0.143299,0.031538
1,27,0.007287,0.034002,0.356978,-0.482308,0.148794,0.034002
2,1,0.152505,0.054221,0.14595,-1.484865,0.190876,0.054221
2,2,0.060535,0.040329,0.129121,-0.848209,0.163893,0.040329
2,3,0.048802,0.02493,0.168112,-0.142488,0.129153,0.02493
2,4,0.040813,0.024402,0.19063,-0.118308,0.128289,0.024402
2,5,0.036381,0.022539,0.20148,-0.032946,0.122345,0.022539
2,6,0.031627,0.023378,0.169141,-0.071401,0.125047,0.023378
2,7,0.030438,0.023648,0.206161,-0.083737,0.125707,0.023648
2,8,0.029102,0.024144,0.238655,-0.106465,0.128118,0.024144
2,9,0.027551,0.024449,0.20638,-0.120446,0.127111,0.024449
2,10,0.026922,0.022407,0.227473,-0.026883,0.121322,0.022407
2,11,0.025247,0.021561,0.270053,0.01187,0.117898,0.021561
2,12,0.02382,0.021865,0.264209,-0.00206,0.120225,0.021865
2,13,0.023352,0.023665,0.222958,-0.084532,0.124393,0.023665
2,14,0.023138,0.022538,0.302895,-0.032876,0.1233,0.022538
2,15,0.021381,0.020822,0.281067,0.045768,0.113329,0.020822
2,16,0.020729,0.024432,0.299181,-0.119704,0.126369,0.024432
2,17,0.020687,0.021673,0.306924,0.006744,0.114274,0.021673
2,18,0.019417,0.026832,0.31766,-0.229665,0.134929,0.026832
2,19,0.019545,0.023985,0.347447,-0.09922,0.122996,0.023985
2,20,0.017893,0.022977,0.281933,-0.053016,0.1177,0.022977
2,21,0.01795,0.021323,0.32975,0.022796,0.117044,0.021323
2,22,0.01676,0.035233,0.263965,-0.614687,0.153438,0.035233
2,23,0.016048,0.018904,0.388724,0.133644,0.109496,0.018904
2,24,0.015763,0.020143,0.351786,0.076891,0.111662,0.020143
2,25,0.013909,0.041514,0.348193,-0.902544,0.170138,0.041514
2,26,0.012769,0.040458,0.369524,-0.854121,0.16582,0.040458
2,27,0.013275,0.041528,0.289149,-0.903171,0.166881,0.041528
2,28,0.012125,0.031424,0.356655,-0.440104,0.144466,0.031424
2,29,0.011987,0.037339,0.34949,-0.711201,0.158778,0.037339
2,30,0.011346,0.025124,0.364811,-0.151378,0.124615,0.025124
2,31,0.010948,0.041626,0.235757,-0.907686,0.166295,0.041626
2,32,0.010425,0.049969,0.247477,-1.289996,0.185491,0.049969
2,33,0.009262,0.031617,0.390067,-0.448955,0.142227,0.031617
3,1,0.129809,0.196453,0.042005,-7.929516,0.395585,0.196453
3,2,0.060422,0.0254,0.206317,-0.154533,0.131858,0.0254
3,3,0.04582,0.023106,0.216457,-0.050254,0.12366,0.023106
3,4,0.040513,0.022836,0.206672,-0.037968,0.120976,0.022836
3,5,0.036329,0.023194,0.22491,-0.054243,0.124923,0.023194
3,6,0.033218,0.021318,0.238832,0.031025,0.118105,0.021318
3,7,0.030572,0.022053,0.223383,-0.00238,0.119835,0.022053
3,8,0.028776,0.021271,0.270737,0.033152,0.117179,0.021271
3,9,0.027246,0.020226,0.286648,0.080674,0.114645,0.020226
3,10,0.025596,0.024042,0.307553,-0.092779,0.121205,0.024042
3,11,0.024498,0.032012,0.282094,-0.455072,0.148522,0.032012
3,12,0.022783,0.021932,0.346945,0.003086,0.117007,0.021932
3,13,0.020389,0.02168,0.388434,0.014566,0.12001,0.02168
3,14,0.018025,0.019088,0.413371,0.132388,0.112552,0.019088
3,15,0.018095,0.019607,0.379457,0.108806,0.110879,0.019607
3,16,0.016896,0.025473,0.42268,-0.157832,0.131179,0.025473
3,17,0.016009,0.02187,0.394617,0.005925,0.121207,0.02187
3,18,0.014764,0.019424,0.441918,0.117102,0.109593,0.019424
3,19,0.013645,0.023432,0.461237,-0.065058,0.123986,0.023432
3,20,0.012711,0.017411,0.508466,0.208593,0.10328,0.017411
3,21,0.012181,0.019008,0.50024,0.136034,0.112195,0.019008
3,22,0.01166,0.035744,0.432311,-0.624718,0.156813,0.035744
3,23,0.010464,0.015911,0.536479,0.276804,0.099848,0.015911
3,24,0.010402,0.020155,0.450399,0.08386,0.111956,0.020155
3,25,0.009521,0.017994,0.460421,0.182082,0.108158,0.017994
3,26,0.009371,0.018267,0.501648,0.169709,0.109575,0.018267
3,27,0.008825,0.018584,0.4976,0.155284,0.108401,0.018584
3,28,0.008027,0.020836,0.478255,0.052934,0.116092,0.020836
3,29,0.007914,0.02542,0.399499,-0.155438,0.125638,0.02542
3,30,0.007583,0.0207,0.49496,0.059111,0.117244,0.0207
3,31,0.006927,0.03568,0.448368,-0.621774,0.155676,0.03568
3,32,0.00673,0.020348,0.459207,0.075093,0.114797,0.020348
3,33,0.006594,0.017732,0.531599,0.194008,0.10451,0.017732
4,1,0.22063,0.106277,0.061434,-3.727903,0.277793,0.106277
4,2,0.065824,0.033347,0.078997,-0.483483,0.146762,0.033347
4,3,0.058077,0.04205,0.154135,-0.870661,0.167718,0.04205
4,4,0.049327,0.027632,0.237455,-0.229276,0.134903,0.027632
4,5,0.043468,0.024545,0.245185,-0.091941,0.126242,0.024545
4,6,0.039311,0.024987,0.222523,-0.111584,0.127421,0.024987
4,7,0.0358,0.023067,0.343395,-0.026179,0.125892,0.023067
4,8,0.033056,0.020082,0.347785,0.106608,0.115593,0.020082
4,9,0.032048,0.022809,0.221866,-0.014684,0.123717,0.022809
4,10,0.03276,0.02087,0.287447,0.071581,0.11672,0.02087
4,11,0.030508,0.022706,0.238659,-0.010101,0.123033,0.022706
4,12,0.029588,0.022065,0.347082,0.018388,0.123492,0.022065
4,13,0.02881,0.022353,0.289247,0.005578,0.122121,0.022353
4,14,0.027533,0.02164,0.296159,0.037294,0.120845,0.02164
4,15,0.02618,0.021401,0.272931,0.047951,0.117961,0.021401
4,16,0.025559,0.023023,0.340475,-0.024212,0.12436,0.023023
4,17,0.024524,0.037476,0.313846,-0.667186,0.1615,0.037476
4,18,0.023615,0.019774,0.371567,0.120314,0.114403,0.019774
4,19,0.0231,0.021189,0.379203,0.057389,0.119169,0.021189
4,20,0.023423,0.032401,0.250955,-0.441422,0.141739,0.032401
