Run,LR,Dropout,Hidden,WD,Batch,Pearson_Mean,Pearson_SD,R2_Mean,R2_SD,Time_s
1,0.001,0.2,"[256, 128, 64]",0,16,0.5307,0.0216,0.2563,0.0222,16.6
2,0.001,0.2,"[256, 128, 64]",0,32,0.5600,0.0126,0.2775,0.0100,8.5
3,0.001,0.2,"[256, 128, 64]",0,64,0.5080,0.0426,0.2039,0.0489,4.6
4,0.001,0.2,"[256, 128, 64]",1e-05,16,0.5420,0.0318,0.2782,0.0331,16.2
5,0.001,0.2,"[256, 128, 64]",1e-05,32,0.5486,0.0242,0.2810,0.0316,9.0
6,0.001,0.2,"[256, 128, 64]",1e-05,64,0.5062,0.0241,0.2394,0.0342,4.8
7,0.001,0.2,"[256, 128, 64]",0.0001,16,0.5359,0.0213,0.2765,0.0151,16.8
8,0.001,0.2,"[256, 128, 64]",0.0001,32,0.5346,0.0268,0.2686,0.0383,9.0
9,0.001,0.2,"[256, 128, 64]",0.0001,64,0.4631,0.0623,0.1974,0.0524,4.5
10,0.001,0.2,"[512, 256, 128, 64]",0,16,0.5354,0.0142,0.2739,0.0143,25.4
11,0.001,0.2,"[512, 256, 128, 64]",0,32,0.5390,0.0190,0.2786,0.0227,13.6
12,0.001,0.2,"[512, 256, 128, 64]",0,64,0.4994,0.0075,0.2151,0.0204,8.0
13,0.001,0.2,"[512, 256, 128, 64]",1e-05,16,0.5601,0.0253,0.2955,0.0331,31.7
14,0.001,0.2,"[512, 256, 128, 64]",1e-05,32,0.4974,0.0745,0.2298,0.0629,15.7
15,0.001,0.2,"[512, 256, 128, 64]",1e-05,64,0.5142,0.0254,0.2258,0.0398,9.5
16,0.001,0.2,"[512, 256, 128, 64]",0.0001,16,0.5053,0.0220,0.2461,0.0148,32.7
17,0.001,0.2,"[512, 256, 128, 64]",0.0001,32,0.5087,0.0454,0.2427,0.0482,17.0
18,0.001,0.2,"[512, 256, 128, 64]",0.0001,64,0.4737,0.0415,0.2117,0.0469,8.5
19,0.001,0.2,"[768, 512, 256]",0,16,0.5287,0.0191,0.2252,0.0289,33.7
20,0.001,0.2,"[768, 512, 256]",0,32,0.5126,0.0394,0.2455,0.0414,16.2
21,0.001,0.2,"[768, 512, 256]",0,64,0.4927,0.0480,0.2221,0.0445,9.5
22,0.001,0.2,"[768, 512, 256]",1e-05,16,0.5413,0.0218,0.2454,0.0039,35.6
23,0.001,0.2,"[768, 512, 256]",1e-05,32,0.5304,0.0365,0.2391,0.0389,22.2
24,0.001,0.2,"[768, 512, 256]",1e-05,64,0.4604,0.0365,0.1816,0.0382,10.2
25,0.001,0.2,"[768, 512, 256]",0.0001,16,0.4745,0.0253,0.1730,0.0049,45.9
26,0.001,0.2,"[768, 512, 256]",0.0001,32,0.4889,0.0170,0.1854,0.0126,20.3
27,0.001,0.2,"[768, 512, 256]",0.0001,64,0.5163,0.0139,0.2368,0.0224,14.0
28,0.001,0.3,"[256, 128, 64]",0,16,0.5510,0.0145,0.2945,0.0156,17.1
29,0.001,0.3,"[256, 128, 64]",0,32,0.5144,0.0019,0.2408,0.0049,9.1
30,0.001,0.3,"[256, 128, 64]",0,64,0.4714,0.0071,0.1815,0.0155,5.4
31,0.001,0.3,"[256, 128, 64]",1e-05,16,0.5538,0.0238,0.2881,0.0227,18.1
32,0.001,0.3,"[256, 128, 64]",1e-05,32,0.5419,0.0076,0.2697,0.0140,9.4
33,0.001,0.3,"[256, 128, 64]",1e-05,64,0.4652,0.0121,0.1789,0.0382,5.0
34,0.001,0.3,"[256, 128, 64]",0.0001,16,0.5266,0.0112,0.2742,0.0143,17.8
35,0.001,0.3,"[256, 128, 64]",0.0001,32,0.5192,0.0225,0.2452,0.0217,9.5
36,0.001,0.3,"[256, 128, 64]",0.0001,64,0.4902,0.0196,0.2140,0.0285,5.0
37,0.001,0.3,"[512, 256, 128, 64]",0,16,0.5543,0.0268,0.2989,0.0279,29.2
38,0.001,0.3,"[512, 256, 128, 64]",0,32,0.5439,0.0183,0.2834,0.0165,15.5
39,0.001,0.3,"[512, 256, 128, 64]",0,64,0.4284,0.1014,0.1564,0.0690,7.0
40,0.001,0.3,"[512, 256, 128, 64]",1e-05,16,0.5344,0.0153,0.2779,0.0207,32.9
41,0.001,0.3,"[512, 256, 128, 64]",1e-05,32,0.5393,0.0177,0.2801,0.0132,17.7
42,0.001,0.3,"[512, 256, 128, 64]",1e-05,64,0.4993,0.0308,0.2207,0.0230,9.1
43,0.001,0.3,"[512, 256, 128, 64]",0.0001,16,0.4910,0.0588,0.2390,0.0570,29.3
44,0.001,0.3,"[512, 256, 128, 64]",0.0001,32,0.5208,0.0151,0.2551,0.0263,16.6
45,0.001,0.3,"[512, 256, 128, 64]",0.0001,64,0.4851,0.0429,0.2188,0.0470,9.8
46,0.001,0.3,"[768, 512, 256]",0,16,0.5246,0.0151,0.2475,0.0421,37.0
47,0.001,0.3,"[768, 512, 256]",0,32,0.5103,0.0249,0.2395,0.0237,18.0
48,0.001,0.3,"[768, 512, 256]",0,64,0.4818,0.0304,0.2155,0.0399,10.7
49,0.001,0.3,"[768, 512, 256]",1e-05,16,0.5323,0.0130,0.2567,0.0204,45.4
